Coast|Dogs not allowed|Established campsites|Fall foilage|Good for kids|Lakes|Mountain views|Old growth|Ridges/passes|Rivers|Summits|Waterfalls|Wildflowers/Meadows|Wildlife|elevation_gain|highest_point|hike_name|lat|long|numReports|number_votes|url|which_pass|super_region|sub_region|total_distance|stars|Backcountry camping permit. Register in person at ranger station (no fee)|Discover Pass|Discover Pass, Sno-Parks Permit|National Monument Fee|National Monument Fee, Sno-Parks Permit|National Park Pass|None|None, Northwest Forest Pass|Northwest Forest Pass|Northwest Forest Pass, Sno-Parks Permit|Oregon State Parks Day-Use|Refuge Entrance Pass|Sno-Parks Permit|Wilderness permit. Self-issue at trailhead (no fee)| Bellingham Area| Blewett Pass| Chinook Pass - Hwy 410| Cle Elum Area| Columbia River Gorge - OR| Columbia River Gorge - WA| Cougar Mountain| Dark Divide| Entiat Mountains/Lake Chelan| Goat Rocks| Grand Coulee| Hood Canal| Kitsap Peninsula| Leavenworth Area| Lewis River Region| Long Beach Area| Methow/Sawtooth| Mount Adams Area| Mount Baker Area| Mount St. Helens| Mountain Loop Highway| NE - Sunrise/White River| NW - Carbon River/Mowich| North Bend Area| North Cascades Highway - Hwy 20| Northern Coast| Okanogan Highlands/Kettle River Range| Olympia| Orcas Island| Pacific Coast| Palouse and Blue Mountains| Pasayten| Potholes Region| SE - Cayuse Pass/Steven's Canyon| SW - Longmire/Paradise| Salmon La Sac/Teanaway| San Juan Islands| Seattle-Tacoma Area| Selkirk Range| Snoqualmie Pass| Spokane Area/Coeur d'Alene| Squak Mountain| Stevens Pass - East| Stevens Pass - West| Tiger Mountain| Tri-Cities| Vancouver Area| Wenatchee| Whidbey Island| White Pass/Cowlitz River Valley| Yakima|NaN|distance_from_median
1761|0|0|0|0|1|0|0|1|0|0|0|0|0|0|125.0|525.0|Lewis and Clark State Park|||0|0.0|https://www.wta.org/go-hiking/hikes/lewis-and-clark-state-park|Discover Pass|Southwest Washington| Lewis River Region|2.0|0.0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
1758|1|0|0|0|1|0|1|0|0|0|1|0|1|0|500.0|700.0|Mount Grant Preserve|48.5798|-123.1437|0|0.0|https://www.wta.org/go-hiking/hikes/mount-grant-preserve|None|Puget Sound and Islands| San Juan Islands|2.0|0.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9186.653147517809
2713|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Peak Two|||0||https://www.wta.org/go-hiking/hikes/peak-two||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2705|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Ponderosa|||0||https://www.wta.org/go-hiking/hikes/ponderosa||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2719|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Paradise Roadless Area|||0||https://www.wta.org/go-hiking/hikes/paradise-roadless-area||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2741|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||North Fork Loop|||0||https://www.wta.org/go-hiking/hikes/north-fork-loop||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2745|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Old Growth Loop|||0||https://www.wta.org/go-hiking/hikes/old-growth-loop||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2081|0|0|0|0|1|0|0|0|0|0|0|0|0|0|||Deep Ravine Loop Trail|47.655|-117.2888|0||https://www.wta.org/go-hiking/hikes/deep-ravine-loop-trail||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9323.261062152325
2793|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Mount Barney|||0||https://www.wta.org/go-hiking/hikes/mount-barney||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2791|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Minnow Ridge ORV|||0||https://www.wta.org/go-hiking/hikes/minnow-ridge-orv||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2785|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Mountain Home|||0||https://www.wta.org/go-hiking/hikes/mountain-home||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2764|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||North Fork Fish Creek|||0||https://www.wta.org/go-hiking/hikes/north-fork-fish-creek||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2763|0|0|0|0|0|0|1|0|0|0|0|0|0|1|1800.0|3800.0|Olallie Creek Snowshoe|||0|2.0|https://www.wta.org/go-hiking/hikes/olallie-creek-snowshoe||Mount Rainier Area| SE - Cayuse Pass/Steven's Canyon|6.8|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
2762|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Nooksack Flat|||0||https://www.wta.org/go-hiking/hikes/nooksack-flat||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2761|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Old Goat|||0||https://www.wta.org/go-hiking/hikes/old-goat||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2757|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Old Klone Peak|||0||https://www.wta.org/go-hiking/hikes/old-klone-peak||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2137|0|1|0|0|1|0|1|0|0|1|0|0|1|0|||Buckner Orchard Walk|48.3405|-120.7025|0||https://www.wta.org/go-hiking/hikes/buckner-orchard-walk|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9287.839551523393
187|0|0|0|0|0|0|1|0|0|0|0|0|1|1|2000.0|4400.0|Batey Bould|48.3711|-117.3722|0|4.0|https://www.wta.org/go-hiking/hikes/batey-bould|None|Eastern Washington|NaN|38.2|2.75|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9245.946977893467
2752|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Old Icicle|||0||https://www.wta.org/go-hiking/hikes/old-icicle||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2135|0|0|0|0|1|0|0|0|0|0|0|0|1|1|||Burnt Bridge Creek - Middle Section|45.6345|-122.615|0||https://www.wta.org/go-hiking/hikes/burnt-creek-bridge-middle-section|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9604.674071883564
2090|0|0|0|0|1|0|0|0|0|0|0|0|1|1|||Burnt Bridge Creek - Western Section|45.6534|-122.6621|0||https://www.wta.org/go-hiking/hikes/burnt-bridge-creek-western-section|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9603.003954079111
2748|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||North Wilderness Beach|||0||https://www.wta.org/go-hiking/hikes/north-wilderness-beach||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
214|0|0|0|0|1|0|1|0|0|0|0|1|0|0|||Monkey Bear Falls|48.2001|-120.7746|0||https://www.wta.org/go-hiking/hikes/monkey-bear-falls|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9304.039691103299
1745|0|0|0|0|0|0|0|0|0|0|0|0|1|0|500.0|4800.0|Snipes Mountain - Pine Way|46.1029|-121.4346|0|4.0|https://www.wta.org/go-hiking/hikes/snipes-mountain|None|South Cascades| Mount Adams Area|5.0|3.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9691.290451283527
1739|0|1|1|0|1|1|1|0|0|1|0|0|0|1|100.0|1200.0|Stehekin River Trail|48.3453|-120.7213|0|4.0|https://www.wta.org/go-hiking/hikes/stehekin-river-trail|None|Central Cascades| Entiat Mountains/Lake Chelan|7.6|4.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9232.982308787248
2696|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Preston Ridge|||0||https://www.wta.org/go-hiking/hikes/preston-ridge||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2679|0|0|0|0|0|1|0|0|0|0|0|0|0|1|||Reiber Road Loop|||0||https://www.wta.org/go-hiking/hikes/reiber-road-loop|Discover Pass|nan|NaN|||0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2636|0|0|0|0|0|0|0|0|0|0|0|0|0|1|100.0|1700.0|Rock Creek Wildlife Area|||0|2.0|https://www.wta.org/go-hiking/hikes/rock-creek-wildlife-area|Discover Pass|Eastern Washington| Spokane Area/Coeur d'Alene|6.0|1.5|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|
2635|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Rock Pass|||0||https://www.wta.org/go-hiking/hikes/rock-pass||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2471|0|0|0|0|0|0|0|0|0|0|0|0|0|0||| Cedar Springs|||0||https://www.wta.org/go-hiking/hikes/cedar-springs||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
1253|0|0|1|0|0|0|1|0|1|0|0|0|1|1|9234.0|6387.0|Packers Trail - Mount Misery Loop|||0|0.0|https://www.wta.org/go-hiking/hikes/packers-trail-mount-misery-loop|None|Eastern Washington| Palouse and Blue Mountains|45.0|0.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
2625|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Roundup Creek|||0||https://www.wta.org/go-hiking/hikes/roundup-creek||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2623|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Sand Creek|||0||https://www.wta.org/go-hiking/hikes/sand-creek||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2620|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Silver Cabin|||0||https://www.wta.org/go-hiking/hikes/silver-cabin||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2619|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Seattle Walla Walla Railroad Grade|||0||https://www.wta.org/go-hiking/hikes/seattle-walla-walla-railroad-grade||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
923|0|0|1|0|0|1|1|0|1|0|1|0|1|1|5000.0|7500.0|Billy Goat Loop|||0|0.0|https://www.wta.org/go-hiking/hikes/billy-goat-loop|Northwest Forest Pass|North Cascades| Pasayten|50.0|0.0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
827|0|0|0|0|1|0|1|0|0|1|1|0|0|1|500.0|4900.0|Muddy Fork Lava Bed|46.3255|-121.5058|0|6.0|https://www.wta.org/go-hiking/hikes/muddy-fork-lava-bed|Northwest Forest Pass|South Cascades| Mount Adams Area|5.0|3.17|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9667.624960375222
2592|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Snagtooth Ridge|||0||https://www.wta.org/go-hiking/hikes/snagtooth-ridge||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2602|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Sheep Camp|||0||https://www.wta.org/go-hiking/hikes/sheep-camp||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2601|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Shark Rock|||0||https://www.wta.org/go-hiking/hikes/shark-rock||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2598|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Seal Rock|||0||https://www.wta.org/go-hiking/hikes/seal-rock||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
2595|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Scho Horse Pasture|||0||https://www.wta.org/go-hiking/hikes/scho-horse-pasture||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
1394|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Cabin Trail|48.7709|-119.1838|0||https://www.wta.org/go-hiking/hikes/cabin-trail||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9224.143738293058
