"condition|snow"|"condition|trail"|"condition|bugs"|"condition|road"
165|False|False|False|False
166|False|False|False|False
167|True|False|False|False
168|True|False|False|False
169|True|False|False|False
170|False|False|False|False
171|False|False|False|False
172|True|False|False|False
173|False|False|False|False
174|True|False|False|False
175|False|False|False|False
176|True|True|False|False
177|True|False|False|False
178|False|False|False|False
179|True|True|False|False
180|True|False|False|False
181|False|False|False|False
182|True|True|False|False
183|True|False|False|True
184|True|False|False|False
185|True|True|False|False
186|False|False|False|False
187|True|False|False|False
188|False|False|False|False
189|False|False|False|False
190|True|True|False|True
191|False|False|False|False
192|False|False|False|False
193|False|False|False|False
194|True|False|False|False
195|False|False|False|False
196|True|True|False|False
197|True|True|False|False
198|True|False|False|False
199|True|True|False|False
200|True|False|False|False
201|False|False|False|False
202|True|True|False|False
203|True|True|False|False
204|True|True|False|False
205|False|True|False|False
206|False|False|False|False
207|True|False|False|False
208|True|False|False|False
209|True|False|False|False
210|True|False|False|False
211|False|False|False|False
212|False|False|False|False
213|True|True|False|False
214|False|False|False|False
215|True|False|False|False
216|True|False|False|False
217|True|False|False|False
218|True|False|False|False
219|False|False|False|False
220|False|False|False|False
221|True|False|False|False
222|False|False|False|False
223|False|False|False|False
224|True|True|False|False
225|True|False|False|False
226|False|False|False|False
227|False|False|False|False
228|False|True|False|False
229|False|False|False|False
230|False|False|False|False
231|False|False|False|False
232|False|False|False|False
233|False|False|False|False
234|False|True|False|True
235|False|False|False|True
236|False|False|False|False
237|True|False|False|False
238|False|False|False|False
239|True|False|False|False
240|False|False|False|False
241|True|False|False|False
242|True|False|False|False
243|True|False|False|False
244|False|True|False|False
245|False|False|True|False
246|False|False|False|False
247|True|True|False|False
248|False|False|False|False
249|True|True|False|True
250|True|True|False|True
251|False|True|True|False
252|True|True|False|False
253|True|True|False|False
254|False|False|False|False
255|False|True|False|False
256|False|False|False|False
257|False|False|False|False
258|False|True|False|False
259|True|False|False|False
260|True|False|False|False
261|True|False|False|False
262|False|False|False|False
263|False|False|False|False
264|True|False|False|False
265|False|False|False|False
266|False|False|False|False
267|False|False|True|False
268|True|False|False|False
269|False|False|False|False
270|False|True|False|False
271|False|False|False|False
272|False|False|False|False
273|False|False|True|False
274|False|False|False|False
275|False|False|False|False
276|False|False|False|False
277|False|True|False|True
278|False|False|False|True
279|False|False|False|False
280|True|True|False|True
281|True|False|False|True
282|False|False|False|False
283|False|False|False|False
284|False|True|False|True
285|False|False|False|False
286|False|True|False|False
287|False|False|False|True
288|False|False|False|False
289|False|False|False|False
290|False|False|False|False
291|False|True|False|False
292|False|True|False|False
293|False|True|False|False
294|False|False|False|False
295|False|False|False|True
296|False|False|False|False
297|False|False|False|False
298|False|False|False|False
299|False|False|False|False
300|False|False|False|False
301|True|False|False|False
302|False|False|False|False
303|False|False|False|False
304|False|True|False|False
305|False|True|False|False
306|False|True|False|False
307|False|False|False|False
308|False|False|False|False
309|False|False|False|False
310|False|False|False|False
311|False|False|False|False
312|False|True|False|False
313|False|False|False|False
314|False|False|False|False
315|False|True|False|False
316|False|True|False|True
317|False|False|False|True
318|False|False|False|False
319|False|False|False|False
320|False|False|False|False
321|False|False|False|False
322|False|False|False|False
323|True|False|False|False
324|False|False|False|False
325|False|False|False|False
326|False|False|False|False
327|False|False|False|False
328|False|False|True|False
329|False|False|True|False
330|False|False|False|False
331|False|False|False|False
332|True|False|False|False
333|True|False|False|True
334|False|False|False|False
335|False|False|False|False
336|False|False|False|False
337|False|False|False|False
338|False|False|False|False
339|False|False|False|False
340|False|False|False|False
341|False|False|False|False
342|False|False|False|False
343|False|False|False|False
344|False|False|False|False
345|False|True|False|False
346|False|False|False|False
347|False|False|False|False
348|False|False|False|False
349|False|False|False|False
350|False|False|True|False
351|False|False|False|False
352|False|False|False|False
353|False|False|False|False
354|False|False|False|False
355|True|False|False|False
356|False|False|False|False
357|False|True|False|False
358|True|True|False|False
359|False|False|False|False
360|False|False|False|False
361|False|False|False|False
362|False|False|False|False
363|False|True|False|False
364|False|True|False|True
365|False|False|True|True
366|False|False|True|True
367|False|True|False|False
368|False|False|True|True
369|False|False|True|False
370|False|True|False|False
371|False|True|False|True
372|False|False|False|True
373|False|False|False|True
374|False|False|False|False
375|True|False|False|False
376|False|False|False|False
377|False|False|False|False
378|False|False|False|False
379|False|False|False|False
380|False|True|False|False
381|False|False|False|False
382|False|False|False|False
383|False|False|False|False
384|False|True|False|False
385|False|False|False|False
386|True|False|False|False
387|False|False|False|False
388|False|False|False|False
389|False|False|False|False
390|False|False|False|False
391|True|False|False|False
392|False|False|False|False
393|False|False|False|False
394|False|False|False|False
395|True|False|False|False
396|False|False|False|False
397|False|False|False|False
398|False|False|False|False
399|False|False|False|False
400|False|False|False|False
401|False|False|False|False
402|False|False|False|False
403|True|True|False|True
404|True|True|False|False
405|True|True|False|False
406|False|False|False|False
407|True|False|False|False
408|True|True|False|False
409|True|False|False|False
410|False|False|False|False
411|False|False|False|False
412|True|True|False|False
413|False|False|False|False
414|False|False|False|False
415|False|False|False|False
416|False|False|False|False
417|False|False|False|False
418|True|True|False|False
419|True|False|False|False
420|False|False|False|False
421|False|False|False|False
422|False|False|False|False
423|False|True|False|False
424|False|False|False|False
425|False|True|False|False
426|False|False|False|False
427|False|True|False|False
428|False|False|False|False
429|False|False|False|False
430|False|True|False|True
431|False|False|False|False
432|False|True|False|False
433|True|False|False|False
434|False|True|False|False
435|False|False|False|False
436|False|True|False|False
437|False|False|False|False
438|True|True|False|True
439|False|True|False|False
440|False|True|False|False
441|False|False|False|False
442|True|True|False|False
443|False|False|False|False
444|False|False|False|False
445|True|False|False|False
446|False|False|False|False
447|False|True|False|True
448|False|False|False|False
449|False|False|False|False
450|True|False|False|False
451|True|False|False|False
452|True|False|False|False
453|True|False|False|False
454|True|False|False|False
455|True|False|False|False
456|True|False|False|False
457|True|False|False|False
458|True|False|False|False
459|True|False|False|True
460|True|True|False|False
461|True|True|False|False
462|False|False|False|False
463|True|True|False|False
464|True|False|False|False
465|True|False|False|False
466|True|False|False|False
467|True|False|False|False
468|True|False|False|False
469|True|False|False|False
470|True|True|False|False
471|True|False|False|False
472|True|False|False|True
473|True|True|False|True
474|True|False|False|False
475|True|False|False|False
476|True|False|False|False
477|True|False|False|False
478|True|False|False|False
479|True|False|False|False
480|True|False|False|False
481|True|False|False|False
482|True|False|False|False
483|True|False|False|False
484|False|False|False|False
485|False|False|False|False
486|True|False|False|False
487|True|False|False|False
488|False|False|False|False
489|False|False|False|False
490|False|False|False|False
491|False|False|False|False
492|True|False|False|True
493|True|True|False|True
494|True|True|False|False
495|False|False|False|True
496|False|False|False|False
497|False|False|True|True
498|False|False|False|False
499|False|False|False|False
500|False|False|False|False
501|False|False|False|False
502|False|False|False|True
503|False|False|False|True
504|False|False|False|False
505|False|True|False|False
506|False|False|False|False
507|False|True|False|True
508|False|False|False|False
509|True|True|False|True
510|False|False|False|False
511|False|False|False|False
512|False|False|False|False
513|False|False|False|False
514|False|False|False|False
515|False|False|False|False
516|False|True|False|False
517|False|False|False|False
518|True|True|False|True
519|False|True|False|True
520|False|True|False|False
521|False|True|False|False
522|True|True|False|True
523|False|False|False|False
524|False|False|False|False
525|False|False|False|False
526|False|True|False|False
527|True|False|False|True
528|False|False|False|True
529|False|False|False|True
530|False|True|True|True
531|False|False|False|False
532|True|False|False|False
533|True|False|False|False
534|True|False|False|False
535|True|False|False|False
536|False|True|False|False
537|False|False|False|False
538|True|False|False|False
539|True|False|False|False
540|True|True|False|False
541|False|True|False|False
542|False|True|False|False
543|False|False|False|False
544|False|False|False|False
545|True|False|False|False
546|False|False|False|False
547|False|False|False|False
548|False|False|False|False
549|False|True|False|False
550|False|True|False|False
551|False|True|False|False
552|True|False|False|False
553|True|False|False|False
554|True|False|False|False
555|False|False|False|False
556|False|True|False|False
557|False|True|False|False
558|True|False|False|False
559|True|False|False|False
560|False|False|False|False
561|False|False|False|False
562|True|True|False|False
563|False|False|False|False
564|True|False|False|False
565|True|False|False|False
566|True|False|False|False
567|False|False|False|False
568|True|True|False|False
569|True|False|False|False
570|False|False|False|False
571|False|False|False|False
572|False|False|False|False
573|False|False|False|False
574|False|False|False|False
575|True|False|False|False
576|False|False|False|False
577|False|False|False|False
578|False|False|False|False
579|False|False|False|False
580|True|False|False|False
581|False|False|False|False
582|False|True|False|False
583|False|False|False|False
584|False|True|False|False
585|False|False|False|False
586|False|True|False|False
587|False|True|False|True
588|False|True|False|False
589|False|True|False|True
590|False|True|False|True
591|False|True|False|False
592|False|False|False|False
593|False|False|False|False
594|False|False|False|False
595|False|False|False|False
596|True|True|False|True
597|False|True|True|False
598|False|True|False|False
599|False|False|False|False
600|False|False|False|False
601|False|False|False|False
602|False|False|False|False
603|True|True|False|False
604|False|False|False|False
605|False|False|False|False
606|False|False|False|False
607|False|False|False|False
608|False|False|False|False
609|False|False|False|False
610|False|False|False|False
611|False|False|False|False
612|False|False|False|False
613|False|False|False|False
614|False|False|True|False
615|False|False|False|False
616|False|False|False|False
617|False|False|False|False
618|False|False|False|False
619|False|False|False|False
620|True|False|False|False
621|False|False|False|False
622|False|False|False|True
623|False|False|False|False
624|True|False|False|False
625|True|False|False|False
626|True|False|False|False
627|True|False|False|False
628|True|True|False|False
629|False|False|False|False
630|True|True|False|False
631|False|False|False|False
632|False|True|False|False
633|False|False|False|False
634|False|False|False|False
635|False|True|False|False
636|False|False|False|False
637|False|False|False|False
638|False|False|False|False
639|False|False|True|False
640|True|False|False|False
641|False|False|False|False
642|False|False|False|False
643|False|False|False|False
644|False|False|False|False
645|False|False|False|False
646|False|True|False|False
647|True|True|False|True
648|False|False|False|False
649|False|True|False|False
650|True|True|False|False
651|True|True|False|True
652|False|False|False|False
653|False|False|False|False
654|True|False|False|False
655|True|True|False|False
656|False|False|False|False
657|False|False|False|False
658|False|False|False|False
659|False|False|False|False
660|False|False|False|False
661|False|False|False|False
662|False|True|False|False
663|False|False|False|False
664|False|False|False|False
665|False|True|False|False
666|False|False|False|False
667|False|False|False|False
668|False|False|True|False
669|False|False|False|False
670|False|True|True|False
671|False|True|False|False
672|False|False|False|False
673|False|False|True|False
674|False|False|False|False
675|False|False|False|False
676|False|False|False|False
677|False|False|False|False
678|False|False|False|False
679|False|False|False|False
680|False|False|False|False
681|False|False|False|False
682|True|False|False|False
683|False|False|False|False
684|False|False|False|False
685|False|False|False|False
686|True|False|False|False
687|False|False|False|False
688|False|False|False|False
689|False|False|False|False
690|False|False|True|False
691|False|False|False|False
692|False|False|False|False
693|False|False|False|False
694|False|False|False|False
695|False|False|False|False
696|False|False|False|False
697|False|False|False|False
698|False|False|False|False
699|True|False|False|False
700|False|False|False|False
701|True|False|False|False
702|True|False|False|False
703|True|False|False|False
704|True|False|False|True
705|True|False|False|False
706|True|False|False|False
707|True|False|False|False
708|False|False|False|False
709|False|False|False|False
710|False|True|True|False
711|False|False|False|False
712|False|True|False|False
713|False|True|False|False
714|False|False|False|False
715|False|False|False|False
716|False|False|False|False
717|False|False|False|False
718|False|False|False|False
719|False|False|False|False
720|False|False|False|False
721|False|False|False|False
722|False|False|False|False
723|False|False|False|False
724|False|False|False|False
725|True|True|False|False
726|True|True|False|False
727|True|False|False|False
728|True|False|False|False
729|True|False|False|False
730|True|True|False|True
731|True|True|False|False
732|False|True|False|False
733|False|False|False|False
734|False|False|False|False
735|False|True|False|False
736|False|False|False|False
737|False|True|False|False
738|False|True|False|False
739|True|True|True|True
740|False|True|False|False
741|False|True|False|True
742|False|True|False|False
743|False|True|False|False
744|False|True|False|False
745|False|False|False|False
746|False|False|False|False
747|False|True|False|False
748|False|False|False|False
749|False|False|False|True
750|False|True|False|False
751|False|True|False|True
752|False|False|False|False
753|False|True|False|False
754|False|True|False|False
755|False|False|False|False
756|False|True|False|False
757|False|False|False|False
758|False|True|False|False
759|False|True|False|False
760|False|True|False|False
761|True|True|False|False
762|False|False|False|False
763|False|False|False|False
764|False|True|False|False
765|False|False|False|False
766|True|True|False|False
767|True|False|False|False
768|False|True|False|False
769|False|True|False|False
770|False|True|False|False
771|False|True|False|False
772|True|True|False|False
773|False|True|False|False
774|True|False|False|False
775|True|True|False|True
776|False|False|False|False
777|False|False|False|False
778|False|False|False|False
779|False|True|True|False
780|False|False|False|False
781|True|True|False|False
782|False|False|False|False
783|True|False|False|True
784|True|False|False|False
785|False|True|False|False
786|False|False|False|False
787|False|False|False|False
788|False|True|True|False
789|False|True|True|False
790|True|True|True|False
791|False|False|False|False
792|False|True|False|False
793|True|True|False|False
794|True|True|False|False
795|True|True|False|False
796|False|False|False|False
797|False|True|False|False
798|False|True|False|False
799|False|False|False|False
800|False|False|False|False
801|True|True|False|False
802|True|True|False|False
803|False|False|False|False
804|True|True|False|False
805|True|False|False|False
806|True|False|False|False
807|False|False|False|False
808|True|False|False|False
809|True|True|False|False
810|False|False|False|False
811|True|False|False|False
812|True|False|False|False
813|True|True|False|False
814|False|False|False|False
815|True|False|False|False
816|True|True|False|False
817|True|True|False|False
818|False|True|False|False
819|True|False|False|False
820|False|False|False|False
821|False|False|False|False
822|False|False|False|False
823|False|False|False|False
824|False|False|False|False
825|False|False|False|False
826|False|False|False|False
827|False|False|False|False
828|False|False|False|False
829|True|False|False|False
830|True|False|False|False
831|True|True|False|False
832|False|False|False|False
833|False|False|False|False
834|False|False|False|False
835|False|False|False|False
836|False|False|False|False
837|False|True|False|True
838|False|True|False|False
839|False|True|False|False
840|False|True|False|False
841|True|False|False|True
842|False|True|False|False
843|False|False|False|True
844|False|True|False|False
845|False|True|False|False
846|False|False|False|False
847|False|False|False|False
848|False|True|False|False
849|False|True|False|False
850|False|True|False|False
851|False|True|False|False
852|False|False|False|False
853|False|False|False|False
854|False|True|False|False
855|False|True|False|False
856|True|True|False|False
857|False|False|False|False
858|False|False|False|False
859|False|False|False|False
860|False|False|False|False
861|False|False|False|False
862|False|False|False|False
863|False|True|False|False
864|False|False|False|False
865|False|True|False|False
866|False|True|False|False
867|True|True|False|False
868|False|False|False|False
869|False|True|False|False
870|False|True|False|False
871|False|False|False|False
872|False|False|False|False
873|False|False|False|False
874|False|False|False|False
875|False|True|False|False
876|False|False|False|False
877|False|False|False|False
878|False|False|False|False
879|False|False|False|False
880|True|True|False|False
881|False|True|False|False
882|False|True|False|False
883|True|True|False|False
884|True|False|False|True
885|False|True|False|False
886|False|False|False|False
887|False|False|False|False
888|False|False|False|False
889|True|True|False|False
890|False|True|False|False
891|False|True|False|False
892|False|True|False|False
893|False|True|False|False
894|False|True|False|False
895|False|True|True|False
896|False|True|False|False
897|False|False|False|False
898|False|False|False|False
899|True|True|False|False
900|True|False|False|False
901|True|False|False|False
902|False|False|False|False
903|False|False|False|True
904|True|False|False|False
905|False|False|False|False
906|True|False|False|False
907|True|False|False|False
908|True|False|False|False
909|True|True|False|False
910|True|True|False|False
911|True|False|False|False
912|False|False|False|False
913|False|False|False|False
914|True|True|False|False
915|False|True|False|False
916|False|False|False|False
917|True|False|False|False
918|False|False|False|False
919|False|True|False|True
920|False|True|False|False
921|False|True|False|False
922|True|True|False|False
923|False|True|False|False
924|False|False|False|False
925|False|True|False|True
926|False|False|False|False
927|True|False|False|False
928|False|False|False|False
929|False|False|False|False
930|False|True|False|True
931|False|False|False|False
932|False|True|False|False
933|False|True|False|False
934|False|True|False|False
935|False|False|False|False
936|False|True|False|False
937|False|True|True|True
938|False|True|False|False
939|False|False|False|True
940|True|False|False|True
941|False|False|False|True
942|False|True|False|False
943|True|True|False|False
944|False|True|False|True
945|True|False|False|True
946|True|False|False|True
947|False|False|False|True
948|True|True|False|True
949|True|True|False|False
950|True|False|False|False
951|False|False|False|False
952|False|False|False|True
953|False|True|False|False
954|False|False|False|False
955|False|False|False|False
956|False|False|True|False
957|False|False|False|True
958|False|False|False|False
959|True|False|False|False
960|True|True|False|False
961|True|False|False|False
962|True|True|False|True
963|False|False|False|False
964|False|True|False|False
965|False|False|False|False
966|False|False|False|False
967|False|False|True|True
968|False|False|False|False
969|False|False|False|False
970|False|False|True|True
971|False|False|False|True
972|False|False|True|True
973|False|False|False|False
974|False|False|False|True
975|False|False|False|True
976|False|False|False|True
977|True|True|False|True
978|False|False|False|False
979|False|False|False|False
980|False|False|True|True
981|False|False|False|False
982|False|False|False|False
983|False|False|False|False
984|False|False|False|False
985|False|False|False|False
986|False|False|False|True
987|False|False|False|True
988|False|False|False|False
989|True|False|False|True
990|True|False|False|True
991|True|False|False|True
992|True|False|False|False
993|False|False|False|False
994|False|False|False|False
995|False|False|False|True
996|False|True|False|True
997|True|False|False|True
998|False|False|False|True
999|False|False|False|True
1000|False|False|False|False
1001|True|True|False|False
1002|False|False|False|True
1003|False|False|False|True
1004|False|False|False|False
1005|False|False|False|True
1006|False|False|False|False
1007|False|False|False|False
1008|True|False|False|False
1009|False|False|False|False
1010|False|False|False|False
1011|True|False|False|False
1012|False|False|False|False
1013|True|True|False|False
1014|True|False|False|False
1015|True|False|False|True
1016|False|False|False|False
1017|True|False|False|False
1018|False|False|False|False
1019|False|False|False|False
1020|False|False|False|False
1021|False|False|False|False
1022|True|False|False|False
1023|True|False|False|False
1024|True|False|False|False
1025|True|False|False|False
1026|False|False|False|False
1027|True|False|False|False
1028|True|False|False|False
1029|True|True|False|True
1030|True|False|False|False
1031|True|False|False|True
1032|True|True|False|True
1033|True|False|False|False
1034|True|False|False|False
1035|True|False|False|False
1036|True|False|False|True
1037|True|False|False|False
1038|True|True|False|True
1039|True|False|False|True
1040|True|False|False|True
1041|True|True|False|False
1042|True|False|False|False
1043|True|False|False|False
1044|True|False|False|False
1045|True|False|False|False
1046|True|False|False|False
1047|True|False|False|False
1048|True|True|False|False
1049|True|False|False|False
1050|False|False|False|False
1051|True|False|False|False
1052|True|False|False|False
1053|True|False|False|False
1054|True|False|False|False
1055|True|False|False|False
1056|True|False|False|False
1057|True|False|False|False
1058|True|False|False|False
1059|False|True|True|False
1060|False|True|False|False
1061|False|False|False|False
1062|True|False|False|False
1063|True|True|False|False
1064|False|False|False|False
1065|False|False|False|False
1066|False|False|False|True
1067|False|False|False|False
1068|False|False|False|False
1069|False|False|False|False
1070|False|False|False|True
1071|False|False|False|False
1072|False|False|False|False
1073|False|False|False|False
1074|False|True|False|False
1075|False|False|False|False
1076|False|False|False|False
1077|False|False|False|False
1078|False|False|False|False
1079|False|False|False|False
1080|False|False|False|False
1081|False|False|False|False
1082|False|False|False|False
1083|False|False|False|False
1084|False|False|False|False
1085|False|False|False|False
1086|False|False|False|False
1087|False|False|False|False
1088|True|False|False|False
1089|False|False|False|False
1090|False|False|False|False
1091|False|True|False|False
1092|False|False|False|False
1093|False|False|False|False
1094|False|False|False|False
1095|False|False|False|False
1096|False|False|False|False
1097|False|False|False|False
1098|False|False|False|False
1099|False|False|False|False
1100|False|False|False|False
1101|False|False|False|False
1102|False|False|False|False
1103|False|True|False|False
1104|False|False|False|False
1105|False|False|False|False
1106|True|True|False|False
1107|False|False|False|False
1108|False|False|False|False
1109|False|False|False|False
1110|False|False|False|False
1111|False|False|False|False
1112|False|False|False|False
1113|False|False|False|False
1114|False|False|False|False
1115|False|False|False|False
1116|False|False|False|False
1117|False|False|False|False
1118|False|False|False|False
1119|False|False|False|False
1120|False|False|False|False
1121|False|False|False|False
1122|False|False|False|False
1123|False|False|False|False
1124|False|False|False|False
1125|False|False|False|False
1126|False|False|False|False
1127|False|True|False|False
1128|False|False|False|False
1129|False|False|False|False
1130|False|False|False|False
1131|False|False|False|False
1132|False|False|False|False
1133|False|False|False|False
1134|False|False|False|False
1135|False|True|False|False
1136|False|False|False|False
1137|False|False|False|False
1138|False|False|False|False
1139|False|False|False|False
1140|False|True|False|False
1141|False|True|False|False
1142|False|False|False|False
1143|False|False|False|False
1144|False|False|False|False
1145|False|True|False|False
1146|False|False|False|False
1147|False|False|True|False
1148|False|True|False|False
1149|False|False|False|False
1150|False|False|False|False
1151|False|False|False|False
1152|False|True|False|False
1153|True|False|False|False
1154|True|True|False|True
1155|False|False|False|False
1156|False|False|False|False
1157|False|False|False|False
1158|False|False|True|False
1159|False|False|False|False
1160|False|False|True|False
1161|False|False|True|False
1162|False|True|True|False
1163|False|False|True|False
1164|False|False|True|True
1165|True|True|True|False
1166|True|True|False|False
1167|False|True|False|False
1168|False|False|False|False
1169|False|False|False|False
1170|False|False|False|False
1171|False|False|False|False
1172|False|False|True|True
1173|False|False|True|False
1174|False|True|False|False
1175|False|False|False|False
1176|False|False|False|False
1177|False|True|True|False
1178|True|True|False|True
1179|True|True|False|True
1180|True|True|False|True
1181|False|False|False|True
1182|False|True|False|False
1183|False|False|False|True
1184|False|False|False|False
1185|False|False|True|True
1186|False|False|False|False
1187|False|False|True|False
1188|False|False|True|False
1189|True|True|False|True
1190|True|True|False|False
1191|True|True|False|True
1192|False|True|False|True
1193|False|False|False|True
1194|False|False|False|False
1195|False|False|False|True
1196|False|False|False|True
1197|True|True|False|False
1198|True|False|False|False
1199|True|False|False|False
1200|False|False|False|False
1201|True|False|False|False
1202|False|False|False|False
1203|True|True|False|False
1204|True|False|False|False
1205|False|False|False|False
1206|False|False|False|False
1207|False|False|False|False
1208|False|False|False|False
1209|False|False|False|False
1210|False|False|False|False
1211|False|False|False|False
1212|False|True|False|False
1213|False|True|False|False
1214|False|True|False|False
1215|False|False|False|False
1216|False|False|False|False
1217|True|False|False|False
1218|True|False|False|False
1219|False|False|False|False
1220|False|False|False|False
1221|True|False|False|False
1222|False|False|False|False
1223|False|False|False|False
1224|False|True|False|False
1225|False|True|False|False
1226|False|True|False|False
1227|False|True|False|False
1228|False|False|False|False
1229|False|False|False|False
1230|False|False|True|False
1231|False|False|False|False
1232|True|False|False|False
1233|False|False|False|False
1234|False|False|False|True
1235|True|True|False|True
1236|True|True|False|True
1237|False|True|False|False
1238|False|False|False|False
1239|False|True|False|False
1240|False|False|False|False
1241|False|False|False|False
1242|False|False|False|False
1243|False|True|False|False
1244|False|True|False|False
1245|False|False|False|False
1246|True|True|False|False
1247|False|False|False|False
1248|False|False|False|False
1249|False|True|False|False
1250|False|True|False|False
1251|False|True|False|False
1252|False|True|False|False
1253|False|False|False|False
1254|False|True|False|False
1255|False|False|False|False
1256|False|False|False|True
1257|False|True|False|False
1258|False|False|False|False
1259|False|True|False|False
1260|False|False|False|False
1261|False|False|False|False
1262|False|False|False|False
1263|False|False|False|False
1264|True|True|False|False
1265|False|True|False|False
1266|False|False|False|False
1267|False|False|False|False
1268|False|False|False|False
1269|True|False|False|False
1270|False|False|False|False
1271|False|False|False|False
1272|False|False|False|False
1273|False|False|False|False
1274|False|False|False|False
1275|True|False|False|False
1276|False|True|False|False
1277|False|False|False|False
1278|False|False|False|False
1279|True|False|False|False
1280|True|False|False|True
1281|False|False|False|False
1282|True|False|False|False
1283|True|True|False|False
1284|True|True|False|False
1285|True|False|False|False
1286|True|False|False|False
1287|True|False|False|False
1288|False|False|False|False
1289|False|False|False|False
1290|False|True|False|False
1291|False|False|False|False
1292|True|False|False|False
1293|False|False|False|False
1294|False|False|False|False
1295|False|False|False|False
1296|False|False|False|False
1297|False|True|False|False
1298|False|False|False|False
1299|False|False|False|False
1300|False|False|False|False
1301|False|False|False|False
1302|True|True|False|False
1303|False|False|False|False
1304|False|False|False|False
1305|False|False|False|False
1306|False|False|False|False
1307|False|True|False|False
1308|False|True|False|False
1309|False|True|False|False
1310|False|True|False|True
1311|False|True|False|True
1312|True|True|False|True
1313|False|False|False|False
1314|False|False|False|False
1315|False|True|False|False
1316|False|False|False|False
1317|False|False|False|False
1318|True|False|False|False
1319|False|False|False|False
1320|True|False|False|True
1321|False|False|False|True
1322|False|False|False|False
1323|False|False|False|True
1324|False|True|False|False
1325|False|False|False|True
1326|False|False|False|True
1327|False|False|False|False
1328|False|False|True|True
1329|False|False|True|False
1330|False|False|True|False
1331|False|False|False|False
1332|False|False|True|True
1333|False|False|False|False
1334|False|False|False|True
1335|False|False|False|False
1336|False|False|False|False
1337|False|False|False|False
1338|True|True|False|False
1339|False|True|False|False
1340|True|False|False|False
1341|True|False|False|False
1342|True|False|False|False
1343|False|False|False|False
1344|False|False|False|True
1345|False|False|False|False
1346|False|False|False|False
1347|False|False|False|False
1348|False|False|False|False
1349|False|False|False|False
1350|False|False|False|False
1351|False|False|False|False
1352|False|True|True|False
1353|False|True|True|False
1354|False|True|False|False
1355|False|False|False|False
1356|False|True|False|False
